t,h_GR,h_model
2.7006751687921984e+00,1.3462376221339911e-01,1.3462376221339911e-01
2.7506876719179796e+00,1.3710120015459790e-01,1.3710120015459790e-01
2.8007001750437612e+00,1.3957778078514058e-01,1.3957778078514058e-01
2.8507126781695424e+00,1.4205348861866390e-01,1.4205348861866390e-01
2.9007251812953241e+00,1.4452830817426260e-01,1.4452830817426260e-01
2.9507376844211053e+00,1.4700222397658572e-01,1.4700222397658572e-01
3.0007501875468869e+00,1.4947522055593379e-01,1.4947522055593379e-01
3.0507626906726681e+00,1.5194728244835506e-01,1.5194728244835506e-01
3.1007751937984498e+00,1.5441839419574285e-01,1.5441839419574285e-01
3.1507876969242310e+00,1.5688854034593150e-01,1.5688854034593150e-01
3.2008002000500126e+00,1.5935770545279368e-01,1.5935770545279368e-01
3.2508127031757943e+00,1.6182587407633636e-01,1.6182587407633636e-01
3.3008252063015755e+00,1.6429303078279781e-01,1.6429303078279781e-01
3.3508377094273571e+00,1.6675916014474390e-01,1.6675916014474390e-01
3.4008502125531384e+00,1.6922424674116460e-01,1.6922424674116460e-01
3.4508627156789200e+00,1.7168827515757043e-01,1.7168827515757043e-01
3.5008752188047012e+00,1.7415122998608884e-01,1.7415122998608884e-01
3.5508877219304829e+00,1.7661309582556056e-01,1.7661309582556056e-01
3.6009002250562641e+00,1.7907385728163588e-01,1.7907385728163588e-01
3.6509127281820457e+00,1.8153349896687099e-01,1.8153349896687099e-01
3.7009252313078269e+00,1.8399200550082409e-01,1.8399200550082409e-01
3.7509377344336086e+00,1.8644936151015162e-01,1.8644936151015162e-01
3.8009502375593902e+00,1.8890555162870448e-01,1.8890555162870448e-01
3.8509627406851714e+00,1.9136056049762382e-01,1.9136056049762382e-01
3.9009752438109531e+00,1.9381437276543759e-01,1.9381437276543759e-01
3.9509877469367343e+00,1.9626697308815594e-01,1.9626697308815594e-01
4.0010002500625159e+00,1.9871834612936770e-01,1.9871834612936770e-01
4.0510127531882976e+00,2.0116847656033585e-01,2.0116847656033585e-01
4.1010252563140783e+00,2.0361734906009368e-01,2.0361734906009368e-01
4.1510377594398600e+00,2.0606494831554048e-01,2.0606494831554048e-01
4.2010502625656416e+00,2.0851125902153725e-01,2.0851125902153725e-01
4.2510627656914233e+00,2.1095626588100241e-01,2.1095626588100241e-01
4.3010752688172049e+00,2.1339995360500760e-01,2.1339995360500760e-01
4.3510877719429857e+00,2.1584230691287307e-01,2.1584230691287307e-01
4.4011002750687673e+00,2.1828331053226346e-01,2.1828331053226346e-01
4.4511127781945490e+00,2.2072294919928304e-01,2.2072294919928304e-01
4.5011252813203306e+00,2.2316120765857139e-01,2.2316120765857139e-01
4.5511377844461114e+00,2.2559807066339860e-01,2.2559807066339860e-01
4.6011502875718930e+00,2.2803352297576093e-01,2.2803352297576093e-01
4.6511627906976747e+00,2.3046754936647557e-01,2.3046754936647557e-01
4.7011752938234563e+00,2.3290013461527639e-01,2.3290013461527639e-01
4.7511877969492371e+00,2.3533126351090880e-01,2.3533126351090880e-01
4.8012003000750187e+00,2.3776092085122505e-01,2.3776092085122505e-01
4.8512128032008004e+00,2.4018909144327910e-01,2.4018909144327910e-01
4.9012253063265820e+00,2.4261576010342181e-01,2.4261576010342181e-01
4.9512378094523637e+00,2.4504091165739578e-01,2.4504091165739578e-01
5.0012503125781445e+00,2.4746453094043019e-01,2.4746453094043019e-01
5.0512628157039261e+00,2.4988660279733588e-01,2.4988660279733588e-01
5.1012753188297078e+00,2.5230711208259976e-01,2.5230711208259976e-01
5.1512878219554894e+00,2.5472604366047974e-01,2.5472604366047974e-01
5.2013003250812702e+00,2.5714338240509937e-01,2.5714338240509937e-01
5.2513128282070518e+00,2.5955911320054237e-01,2.5955911320054237e-01
5.3013253313328335e+00,2.6197322094094710e-01,2.6197322094094710e-01
5.3513378344586151e+00,2.6438569053060118e-01,2.6438569053060118e-01
5.4013503375843968e+00,2.6679650688403578e-01,2.6679650688403578e-01
5.4513628407101775e+00,2.6920565492611975e-01,2.6920565492611975e-01
5.5013753438359592e+00,2.7161311959215440e-01,2.7161311959215440e-01
5.5513878469617408e+00,2.7401888582796730e-01,2.7401888582796730e-01
5.6014003500875225e+00,2.7642293859000638e-01,2.7642293859000638e-01
5.6514128532133032e+00,2.7882526284543424e-01,2.7882526284543424e-01
5.7014253563390849e+00,2.8122584357222208e-01,2.8122584357222208e-01
5.7514378594648665e+00,2.8362466575924350e-01,2.8362466575924350e-01
5.8014503625906482e+00,2.8602171440636864e-01,2.8602171440636864e-01
5.8514628657164289e+00,2.8841697452455745e-01,2.8841697452455745e-01
5.9014753688422106e+00,2.9081043113595417e-01,2.9081043113595417e-01
5.9514878719679922e+00,2.9320206927398040e-01,2.9320206927398040e-01
6.0015003750937739e+00,2.9559187398342895e-01,2.9559187398342895e-01
6.0515128782195555e+00,2.9797983032055708e-01,2.9797983032055708e-01
6.1015253813453363e+00,3.0036592335318035e-01,3.0036592335318035e-01
6.1515378844711179e+00,3.0275013816076585e-01,3.0275013816076585e-01
6.2015503875968996e+00,3.0513245983452525e-01,3.0513245983452525e-01
6.2515628907226812e+00,3.0751287347750828e-01,3.0751287347750828e-01
6.3015753938484620e+00,3.0989136420469582e-01,3.0989136420469582e-01
6.3515878969742436e+00,3.1226791714309321e-01,3.1226791714309321e-01
6.4016004001000253e+00,3.1464251743182259e-01,3.1464251743182259e-01
6.4516129032258069e+00,3.1701515022221655e-01,3.1701515022221655e-01
6.5016254063515886e+00,3.1938580067791067e-01,3.1938580067791067e-01
6.5516379094773693e+00,3.2175445397493618e-01,3.2175445397493618e-01
6.6016504126031510e+00,3.2412109530181293e-01,3.2412109530181293e-01
6.6516629157289326e+00,3.2648570985964182e-01,3.2648570985964182e-01
6.7016754188547143e+00,3.2884828286219736e-01,3.2884828286219736e-01
6.7516879219804951e+00,3.3120879953602017e-01,3.3120879953602017e-01
6.8017004251062767e+00,3.3356724512050934e-01,3.3356724512050934e-01
6.8517129282320584e+00,3.3592360486801476e-01,3.3592360486801476e-01
6.9017254313578400e+00,3.3827786404392929e-01,3.3827786404392929e-01
6.9517379344836217e+00,3.4063000792678094e-01,3.4063000792678094e-01
7.0017504376094024e+00,3.4298002180832488e-01,3.4298002180832488e-01
7.0517629407351841e+00,3.4532789099363548e-01,3.4532789099363548e-01
7.1017754438609657e+00,3.4767360080119813e-01,3.4767360080119813e-01
7.1517879469867474e+00,3.5001713656300115e-01,3.5001713656300115e-01
7.2018004501125281e+00,3.5235848362462724e-01,3.5235848362462724e-01
7.2518129532383098e+00,3.5469762734534549e-01,3.5469762734534549e-01
7.3018254563640914e+00,3.5703455309820276e-01,3.5703455309820276e-01
7.3518379594898731e+00,3.5936924627011502e-01,3.5936924627011502e-01
7.4018504626156538e+00,3.6170169226195892e-01,3.6170169226195892e-01
7.4518629657414355e+00,3.6403187648866292e-01,3.6403187648866292e-01
