k,cT_unlocked,cT_locked
4.9770235643321137e-03,1.0001145800060045e+00,1.0000000000000000e+00
5.3366992312063122e-03,1.0001313255842992e+00,1.0000000000000000e+00
5.7223676593502202e-03,1.0001503601030004e+00,1.0000000000000000e+00
6.1359072734131761e-03,1.0001719539393745e+00,1.0000000000000000e+00
6.5793322465756820e-03,1.0001963967807961e+00,1.0000000000000000e+00
7.0548023107186450e-03,1.0002239949470686e+00,1.0000000000000000e+00
7.5646332755462909e-03,1.0002550671033879e+00,1.0000000000000000e+00
8.1113083078968723e-03,1.0002899379798504e+00,1.0000000000000000e+00
8.6974900261778346e-03,1.0003289296993654e+00,1.0000000000000000e+00
9.3260334688321997e-03,1.0003723503376662e+00,1.0000000000000000e+00
1.0000000000000000e-02,1.0004204794153582e+00,1.0000000000000000e+00
1.0722672220103232e-02,1.0004735501738937e+00,1.0000000000000000e+00
1.1497569953977356e-02,1.0005317287366378e+00,1.0000000000000000e+00
1.2328467394420659e-02,1.0005950906199164e+00,1.0000000000000000e+00
1.3219411484660288e-02,1.0006635955425647e+00,1.0000000000000000e+00
1.4174741629268049e-02,1.0007370620701466e+00,1.0000000000000000e+00
1.5199110829529331e-02,1.0008151442737789e+00,1.0000000000000000e+00
1.6297508346206451e-02,1.0008973131945935e+00,1.0000000000000000e+00
1.7475284000076849e-02,1.0009828463512382e+00,1.0000000000000000e+00
1.8738174228603847e-02,1.0010708286442462e+00,1.0000000000000000e+00
2.0092330025650480e-02,1.0011601676267501e+00,1.0000000000000000e+00
2.1544346900318846e-02,1.0012496250961147e+00,1.0000000000000000e+00
2.3101297000831605e-02,1.0013378652858618e+00,1.0000000000000000e+00
2.4770763559917114e-02,1.0014235177271504e+00,1.0000000000000000e+00
2.6560877829466867e-02,1.0015052504112032e+00,1.0000000000000000e+00
2.8480358684358019e-02,1.0015818466802826e+00,1.0000000000000000e+00
3.0538555088334154e-02,1.0016522778300447e+00,1.0000000000000000e+00
3.2745491628777282e-02,1.0017157631649312e+00,1.0000000000000000e+00
3.5111917342151307e-02,1.0017718104239637e+00,1.0000000000000000e+00
3.7649358067924674e-02,1.0018202319680394e+00,1.0000000000000000e+00
4.0370172585965536e-02,1.0018611354405682e+00,1.0000000000000000e+00
4.3287612810830572e-02,1.0018948911100649e+00,1.0000000000000000e+00
4.6415888336127822e-02,1.0019220810737921e+00,1.0000000000000000e+00
4.9770235643321135e-02,1.0019434374070779e+00,1.0000000000000000e+00
5.3366992312063127e-02,1.0019597769378410e+00,1.0000000000000000e+00
5.7223676593502200e-02,1.0019719396823785e+00,1.0000000000000000e+00
6.1359072734131756e-02,1.0019807364138760e+00,1.0000000000000000e+00
6.5793322465756823e-02,1.0019869087848090e+00,1.0000000000000000e+00
7.0548023107186456e-02,1.0019911033150211e+00,1.0000000000000000e+00
7.5646332755462911e-02,1.0019938587188386e+00,1.0000000000000000e+00
8.1113083078968723e-02,1.0019956046757363e+00,1.0000000000000000e+00
8.6974900261778343e-02,1.0019966693243296e+00,1.0000000000000000e+00
9.3260334688321997e-02,1.0019972924587659e+00,1.0000000000000000e+00
1.0000000000000001e-01,1.0019976415476615e+00,1.0000000000000000e+00
