k,delta_cT2
0.014649713983072856,6.438423593575211e-11
0.014992684327860457,6.743417500646176e-11
0.015343684089300124,7.062859242967253e-11
0.015702901247293774,7.397433227467812e-11
0.01607052818261639,7.74785628204803e-11
0.016446761779946636,8.114879191389403e-11
0.016831803533309566,8.49928830551797e-11
0.017225859653987867,8.90190722456661e-11
0.01762914118095948,9.323598563346043e-11
0.018041864093920727,9.765265799505178e-11
0.018464249428955436,1.0227855209240435e-10
0.018896523396912095,1.0712357894701388e-10
0.01933891750455231,1.1219811907436393e-10
0.019791668678535573,1.175130447242778e-10
0.020255019392306676,1.2307974317481582e-10
0.02072921779595371,1.289101411296252e-10
0.021214517849106298,1.3501673027101492e-10
0.02171117945694504,1.4141259402350172e-10
0.02221946860939524,1.481114355851701e-10
0.022739657523579287,1.5512760728690285e-10
0.023272024789604086,1.624761413423841e-10
0.023816855519761582,1.7017278205475931e-10
0.024374441501222206,1.78234019548951e-10
0.024945081352303167,1.8667712510190698e-10
0.025529080682395178,1.9552018814647277e-10
0.026126752255633278,2.0478215502817157e-10
0.026738416158399468,2.1448286959792734e-10
0.027364399970746706,2.246431157277007e-10
0.02800503894183631,2.3528466184013044e-10
0.028660676169482518,2.464303075475829e-10
0.02933166278390044,2.58103932500535e-10
0.03001835813575589,2.703305475499506e-10
0.030721129988617576,2.8313634833326146e-10
0.031440354715915,2.965487713987675e-10
0.03217641750250737,3.105965529886987e-10
0.03292971255097151,3.2530979060688316e-10
0.03370064329271928,3.407200075029315e-10
0.03448962260405758,3.5686022021109587e-10
0.0352970730273065,3.7376500928850245e-10
0.036123426997094324,3.914705934043209e-10
0.036969127071950283,4.100149069386022e-10
0.03783462617131929,4.294376812570435e-10
0.03872038781812555,4.4978052983581355e-10
0.03962688638701478,4.710870374188132e-10
0.040554607358408296,4.934028533983992e-10
0.04150404757850477,5.167757896196362e-10
0.04247571552536898,5.412559228176215e-10
0.043470131581250245,5.668957019073629e-10
0.04448782831127585,5.937500603560671e-10
0.0455293507486695,6.218765338786115e-10
0.046595256686646824,6.513353837083516e-10
0.04768611697714469,6.821897257073782e-10
0.04880251583654431,7.145056655928473e-10
0.0499450511585514,7.483524405690949e-10
0.051114334834401684,7.838025676689988e-10
0.05231099308056263,8.209319991224015e-10
0.053535666774107246,8.598202850844752e-10
0.054789011795939424,9.005507440726767e-10
0.05607169938205458,9.432106414774499e-10
0.057384416483023955,9.878913765291453e-10
0.05872786613189483,1.034688678121728e-09
0.06010276782070382,1.083702809912829e-09
0.061509857885805014,1.1350387851395788e-09
0.06294988990221888,1.1888065916104436e-09
0.06442363508721373,1.2451214273551426e-09
0.06593188271333549,1.3041039474375079e-09
0.06747544053110693,1.3658805224600847e-09
0.06905513520162328,1.4305835093143408e-09
0.07067181273927492,1.4983515347565424e-09
0.07232633896483537,1.5693297924168787e-09
0.07401959996915644,1.6436703538781832e-09
0.07575250258771912,1.7215324944907177e-09
0.0775259748862946,1.8030830346211144e-09
0.07934096665797492,1.8884966970665665e-09
0.08119844993184012,1.977956481400064e-09
0.08309941949353396,2.0716540560486995e-09
0.08504489341802678,2.16979016894506e-09
0.0870359136148516,2.272575077631573e-09
0.0890735463861044,2.3802289997392477e-09
0.09115888299750823,2.4929825848060183e-09
0.09329304026284686,2.6110774084455497e-09
0.09547716114208062,2.734766489925249e-09
0.09771241535346496,2.864314834262417e-09
0.1,3.0000000000000004e-09
